1,"People's Co-op Farmers Market","30th and Burnside",Multnomah,Portland,Oregon,97202
2,"Silverdale Farmers Market",98383,Kitsap,Silverdale,Washington,98383
3,"Dolgeville Farmer's Market","(Parking Lot) Between Main St. and Helmer Ave",Herkimer,Dolgeville,"New York",13329
4,"Preston Farmers’ Market","#1 Route 164","New London",Preston,Connecticut,
5,"Quincy Farmers Market","0 Denis Ryan Parkway",Norfolk,Quincy,Massachusetts,2169
6,"Jefferson City Farmer's Market","000 Main Street",Cole,"Jefferson City",Missouri,0
7,"Petaluma Evening Farmers' Market","1 2nd Street",Sonoma,Petaluma,California,94952
8,"Charlestown Farmers Market","1 Austin Street, Thompson Square at Austin & Main Streets",,Boston,Massachusetts,2129
9,"Farmers Market at Christopher Newport University","1 Avenue of the Arts","Newport News","Newport News",Virginia,23606
10,"Saratoga Farmers' Market","1 Bayberry Drive",Saratoga,"Ballston Sp","New York",12020
11,"Charles Square","1 Bennett Street,",Middlesex,Cambridge,Massachusetts,2138
12,"Coxsackie Farmers' Market","1 Betke Boulevard",Greene,Coxsackie,"New York",12051
13,"Otsiningo Park Farmers' Market","1 Bevier St",Broome,Binghamton,"New York",13905
14,"Hartford Farmers Market","1 Block North of Highway 60 on Rural Street",Washington,Hartford,Wisconsin,53027
15,"Farmers Market in Denison","1 block west of Main St.",,Denison,Texas,75090
16,"Riverside Farmers' Market","1 Burling Rd.",Cook,Riverside,Illinois,60546
17,"Farmers Market in Camdenton","1 Camden Ct NW",Camden,Camdenton,Missouri,65020
18,"Grand Valley State University Farmers Market","1 Campus Drive, Parking Lot F",Ottawa,Allendale,Michigan,49504
19,"Ringwood Farmers' Market","1 Cannici Drive",Passaic,Ringwood,"New Jersey",7456
20,"Scottdale Farmers Market","1 Centennial Way",Westmoreland,Scottdale,Pennsylvania,15683
21,"TRAVELERS REST COMMUNITY FARMERS MARKET","1 Center Street",Greenville,"Travelers Rest","South Carolina",29690
23,"Farmers Market on the Westford Common","1 Common Rd",,Westford,Vermont,5494
24,"Belington Farmers Market","1 County Highway 11",Barbour,Belington,"West Virginia",25250
25,"Plaza Marketplace","1 Courthouse Square",,Hillsboro,Illinois,62049
26,"Cheyenne Farmers Market","1 Depot Plaza",Laramie,Cheyenne,Wyoming,82001
27,"Pinckneyville Farmers Market","1 E Water St.",Perry,Pinckneyville,Illinois,62274
28,"Skaneateles Farmers Market","1 East Austin Street",Onondaga,Skaneateles,"New York",13152
29,"North Providence Farmers Market","1 Governor Notte Parkway off 1675 Douglas Avenue",Providence,"North Providence","Rhode Island",2904
30,"Grafton Farmers Market","1 Grafton Common",Worcester,Grafton,Massachusetts,1519
31,"West Stockbridge Farmers Market","1 Harris Street, Merritt Green",Berkshire,"West Stockbridge",Massachusetts,1266
32,"North Quincy Farmers Market","1 Heritage Drive, ING Parking Lot",,Quincy,Massachusetts,2171
33,"St. John's Church Farmers Market","1 Hudson Street",Westchester,"New York City","New York",10701
34,"Historic Park Irvine","1 Irvine Park Rd.",Orange,"City of irvine",California,92869
35,"Irvine Regional Park Certified Farmers' Market","1 Irvine Park Road",Orange,Orange,California,
36,"Braintree Farmers Market","1 JFK Memorial Drive",Norfolk,Braintree,Massachusetts,2184
37,"Portsmouth Farmers' Market","1 Junkins Avenue",,Portsmouth,"New Hampshire",
38,"Atkinson NH Farmers Market","1 Kip Cam Road",Rockingham,Atkinson,"New Hampshire",3811
39,"Gettysburg Farmers' Market","1 Lincoln Square",Adams,Gettysburg,Pennsylvania,17325
40,"Winooski Farmers' Market","1 Main St.",Chittenden,Winooski,Vermont,5404
41,"Woodbridge Farmers Market","1 Main Street, Woodbridge","Middlesex County",Woodbridge,"New Jersey",
42,"Tuma’s Farmers Market","1 mile east of Hot Springs, SD on Hwy 18","Fall River County","Hot Springs","South Dakota",
43,"Waltham Farmers' Market","1 Moody Street",Middlesex,Waltham,Massachusetts,2454
44,"Ocala Farm Market","1 NE 1st Avenue",Marion,Ocala,Florida,34470
45,"Carbondale Farmers Market","1 North Main Street",Lackawanna,Carbondale,Pennsylvania,18407
46,"Farmers' Market at Mill Park","1 Northern Ave",Kennebec,Augusta,Maine,4330
47,"Harvard University Farmers' Market","1 Oxford Street",Middlesex,Cambridge,Massachusetts,2138
48,"Smart Markets Manassas Park","1 Park Center Ct.","Prince William","Manassas Park",Virginia,20111
49,"Acton-Boxborough Farmers Market","1 Pearl St",Middlesex,Acton,Massachusetts,1720
50,"Willoughby Outdoor Market","1 Public Square",Lake,Willoughby,Ohio,44094
51,"REC'S Mobile Farmers Market - YWCA of Central MA","1 Salem Square",Worcester,Worcester,Massachusetts,
52,"Castine Farmers' Market","1 School St.",Hancock,Castine,Maine,4420
53,"Lake Worth Farmer's Market, Waterside","1 South Ocean Blvd.",,"Lake Worth",Florida,33460
54,"Crescent City Farmers Market","1 South Summit Street",Putnam,"Crescent City",Florida,32112
55,"York Gateway Farmers' Market","1 Stonewall Lane",York,York,Maine,3909
56,"Carefree Farmers Market","1 Sundial Circle",Maricopa,Carefree,Arizona,85377
57,"Troy Waterfront Farmers Market","1 Third Street",Rensselaer,Troy,"New York",12180
58,"Taylor Farmers' Market","1 Town Square Lane",Lafayette,Taylor,Mississippi,38673
59,"Heart of the City Farmers' Market","1 United Nations Plaza","San Francisco","San Francisco",California,94102
60,"North Asheville Tailgate Market","1 University Heights",Buncombe,Asheville,"North Carolina",28804
61,"Winter Sun Farms Indoor Winter Market","1 Veteran Drive",Ulster,"New Paltz","New York",12561
62,"New Lenox Farmers Market","1 Veterans Parkway",Will,"New Lenox",Illinois,60451
63,"Sandhills Farmers Green Market","1 Village Green Rd West",Moore,Pinehurst,"North Carolina",28374
64,"Oakmont Farmers Market","1 W Eagle Road",Delaware,Havertown,Pennsylvania,19083
65,"Kennedy Plaza Farmers Market","1 w. Chester Street",Nassau,"Long Beach","New York",11561
66,"REAP Ellicottville Farmers Market","1 W. Washington Street",Cattaraugus,Ellicottville,"New York",14731
67,"Forsyth Farmers' Market","1 West Park Avenue",Chatham,Savannah,Georgia,31401
68,"Northport Farmers Market","1 Woodbine Ave.",Suffolk,Northport,"New York",11768
69,"Hollywood Market @ Young Circle","1 Young Circle",Broward,Hollywood,Florida,33022
70,"KC Organics and Natural Market","1/4 mile East of Holmes Road on Red Bridge Road",Jackson,"Kansas City",Missouri,64114
71,"Towson Farmers' Market","10 Alleghany Avenue",Baltimore,Towson,Maryland,21204
72,"Thursday Marin Farmers Market","10 Avenue of the Flags",Marin,"San Rafael",California,94903
73,"Deerfield Farmer's Market","10 Church Street",Rockingham,Deerfield,"New Hampshire",3037
74,"Brick District Farmers' Market","10 East 5th Street",Callaway,Fulton,Missouri,65251
75,"Fox School Farmers Market","10 East Main Street",Oxford,"South Paris",Maine,4281
76,"Ipswich Farmers Market","10 Estes Street, Ebsco Parking Lot",,Ipswich,Massachusetts,1938
77,"Imperial Beach Certified Farmers Market","10 Evergreen Ave.(Pier Plaza)","San Diego","Imperial Beach",California,91932
78,"Fresh Friday Farmers Market sponsored by Kaiser Permanente","10 Hopkins Plaza","Baltimore City",Baltimore,Maryland,21201
79,"Sugar Grove Farmers Market","10 Municipal Drive",,"Sugar Grove",Illinois,60554
80,"Greater Danville Chamber of Commerce Farmer's Market","10 S Jefferson St.",Hendricks,Danville,Indiana,46122
81,Charlemont,"10 School St./Route 2",Franklin,charlemont,Massachusetts,
82,"Kittery Community Market","10 Shapleigh RD",York,Kittery,Maine,3904
83,"Shillington Farmers market","10 South Summit Avenue",Berks,Shillington,Pennsylvania,19607
84,"King City Certified Farmers Market","100 & 200 Block of Broadway St.",Monterey,"King City",California,93930
85,"Janesville Farmers Market","100 & 200 Blocks of Main Street",Rock,Janesville,Wisconsin,53545
86,"Valley Junction Farmers Market","100 & 200 blocks on 5th Street",Polk,"West Des Moines",Iowa,50265
87,"Hayfield Farmer Market","100 2nd Street NE",Dodge,Hayfield,Minnesota,55940
88,"San Francisco Alemany Farmers Market","100 Alemany Boulevard","San Francisco","San Francisco",California,94110
89,"South Wedge Farmers Market","100 Alexander St.",Monroe,Rochester,"New York",14620
